"","Formulario","nom_hum","groups","cluster2"
"1",1,"Canas Gordas 1",1,1
"2",2,"Canas Gordas 2",1,1
"3",3,"Canas Gordas 3",1,1
"4",4,"Canas Gordas 4",1,1
"5",5,"Lourdes 1",1,1
"6",6,"La Isla",1,1
"7",7,"San Joaquin 2",1,3
"8",8,"San Joaquin 1",1,3
"9",9,"Laguna El Campo",1,3
"10",10,"Rafaelita",1,3
"11",11,"San Joaquin 3",1,1
"12",12,"El Jicote 1",1,3
"13",13,"El Jicote 2",1,3
"14",14,"La Bolsa",1,3
"15",15,"El Paraguas",1,3
"16",16,"Tadeo",1,1
"17",17,"Laguna Larga / Redonda",2,4
"18",18,"Laguna La Danta",1,3
"19",19,"San Marcos",1,1
"20",20,"La Dantica",1,1
"21",21,"Los Martinez",2,4
"22",22,"Laguna Los Mangos / La Gloria",2,4
"23",23,"La Fortuna",2,4
"24",24,"Laguna Azul",3,3
"25",25,"Laguna Carce",1,1
"26",26,"El Jardin",3,3
"27",27,"Laguna El Silencio",3,3
"28",28,"Humedales Valle El Silencio",3,3
"29",29,"Humedales Valle El Silencio",3,3
"30",30,"Humedales Valle El Silencio",3,3
"31",31,"Humedales Valle El Silencio",3,3
"32",32,"Humedales Valle El Silencio",3,3
"33",33,"Humedales Valle El Silencio",3,3
"34",34,"Humedales Valle El Silencio",3,3
"35",35,"Humedales Valle El Silencio",3,3
"36",36,"Humedales Valle El Silencio",3,3
"37",37,"Humedales Valle El Silencio",3,3
"38",38,"Laguna Chocuaco",1,3
"39",39,"Laguna El Silencio",1,4
"40",40,"Laguna Rancho Coco",1,1
"41",41,"Laguna Bajo Reyes",1,3
"42",42,"Bajo Reyes",3,3
"43",43,"Hamacas",1,1
"44",44,"Santa Maria Pittier",1,1
"45",45,"Finca Taxadrop",2,4
"46",46,"Laguna Aguabuena",1,1
"47",47,"Laguna Las Marias",1,1
"48",48,"El Socorro",1,1
"49",49,"Comunidad Encuentro",2,4
"50",50,"Laguna Marvin Perez",1,4
"51",51,"Laguna Kropf",1,4
"52",52,"Tonino Papilli 1",2,4
"53",53,"Tonino Papilli 2",1,1
"54",54,"Laguna El Zoncho (Julia)",1,3
"55",55,"Franchesco Chiulli",2,4
"56",56,"Didier Fonseca",1,4
"57",57,"Jimevilla",1,1
"58",58,"Ernesto Araya",1,1
"59",59,"Metaponto",2,4
"60",60,"Campo 2 y medio",3,3
"61",61,"El Paraguas 2 (Los Gamboa)",1,1
"62",62,"Metaponto 2",1,4
"63",63,"Luis Corrales",2,4
"64",64,"Laguna Colorada",1,1
"65",65,"Adenago",1,1
"66",66,"Jose Quiros",1,1
"67",67,"Las Mercedes",2,4
"68",68,"El Chocuaco",2,4
"69",69,"Las Brisas",2,4
"70",70,"Lagua Los Esquivel",2,4
"71",71,"La Georgina",2,4
"72",72,"Rodriguez Ulate",1,1
"73",73,"May Alvarado",1,1
"74",74,"Rolando Barrantes",2,4
"75",75,"Pista las Lagunas",1,1
"76",76,"Eli Granda-Nestor Veas",1,1
"77",77,"Villa Flor 1",1,1
"78",78,"Mollejones",1,1
"79",79,"Laguna Lourdes",1,1
"80",80,"Angelica del Sur",1,1
"81",81,"Edgar Ramirez",1,3
"82",82,"Barrio Laboratorio",1,3
"83",83,"Cocori",2,4
"84",84,"Laguna La Garza",2,4
"85",85,"Los Tijos",2,4
"86",86,"Los Piches",3,3
"87",87,"La Ceniza",1,4
"88",88,"Coopeagri",1,1
"89",89,"Coopeagri 2",1,1
"90",90,"MINAE",2,4
"91",91,"UNA",3,3
"92",92,"Dora Obando",1,1
"93",93,"Calle Vargas",2,4
"94",94,"Cristo Rey",1,1
"95",95,"Loma de Cocori",1,3
"96",96,"La Pluma",2,4
"97",97,"Trans Roden",2,4
"98",98,"Tambor",1,1
"99",99,"Los Naranjo",1,1
"100",100,"Palo Verde",1,1
"101",101,"San Pablo",1,1
"102",102,"Camposanto COOPEAGRI",1,1
"103",103,"La Familia 1",1,1
"104",104,"VOLCAFE",1,1
"105",105,"San Pablo",1,1
"106",106,"Catarata Chontales",1,3
"107",107,"Chontales",1,1
"108",108,"Turbera Jaboncillo",3,3
"109",109,"Tajo Jaboncillo",1,4
"110",110,"3 de Junio km 71",1,1
"111",111,"Km 68",1,1
"112",112,"Torre 27",1,1
"113",113,"El Empalme/Km 52",3,3
"114",114,"Bajo Bijagual",1,1
"115",115,"Los Mayos",1,1
"116",116,"Laguna Ceibon",1,1
"117",117,"Bolas/Lagunillas",2,4
"118",118,"La Chonta",1,1
"119",119,"Abrojo - Montezuma",1,1
"120",120,"La Cuesta",2,4
"121",121,"Lago Guaycara",1,3
"122",122,"Manu 1",1,3
"123",123,"Uvita",1,3
"124",124,"Playa Tortuga",1,3
"125",125,"Punta Mala",2,4
"126",126,"La Machaca",1,1
"127",127,"Los Zuniga",1,1
"128",128,"Laguna de Amado",3,3
"129",129,"Sahineros",1,3
"130",130,"Coto",1,1
"131",131,"Llano Bonito",2,4
"132",132,"La Lecheria 1",1,1
"133",133,"Manu 2",1,3
"134",134,"Laguna Hedionda",1,1
"135",135,"Las Minas",1,1
"136",136,"Boca Ganadito",1,1
"137",137,"Estero Guerra",1,1
"138",138,"Pejeperrito",1,3
"139",139,"Finca Laguna Corcovado 1",1,1
"140",140,"Laguna Vanegas",2,4
"141",141,"Sabalo",1,1
"142",142,"Arrozal Pailon de Sierpe",1,1
"143",143,"Sabalo Pailon",1,1
"144",144,"Laguna Chocuaco",1,1
"145",145,"Villa Flor de Platanares 2",2,4
"146",146,"Villa Flor",2,4
"147",147,"Ley Riyito 4",1,1
"148",148,"Bahia Mogos de Osa",1,1
"149",149,"Tigre 1",1,1
"150",150,"Dos Brazos de Rio Tigre 2",1,1
"151",151,"Laguna Alfredo Paja",1,3
"152",152,"Maxin - Tambor",2,4
"153",153,"Pantano Los Delfines",1,4
"154",154,"Laguna Los Delfines",1,3
"155",155,"Santa Lucia 1",1,1
"156",156,"Santa Lucia 2",1,1
"157",157,"Santa Lucia 3",1,3
"158",158,"Humedal Juan Ralo",1,1
"159",159,"Laguna Santa Lucia",1,1
"160",160,"CTP Paquera",1,1
"161",161,"Cecilio Rodriguez",1,1
"162",162,"Camaronera G Mena y E Jimenez",1,1
"163",163,"Camaronera R Aguilar (Felo)",1,1
"164",164,"Camaronera Rodrigo Zamora",1,1
"165",165,"Camaronera Alberto Barrantes",1,1
"166",166,"Camaronera E Villalobos",1,1
"167",167,"Camaronera Jorge Cubero",1,1
"168",168,"Camaronera Jose Delgado",1,1
"169",169,"Camaronera y salinera JSheridan",1,1
"170",170,"Camaronera y salinera A Barrantes",1,1
"171",171,"Camaronera P Rodriguez",1,1
"172",172,"Camaronera D Rodriguez",1,1
"173",173,"Camaronera E Masis",1,1
"174",174,"Camaronera A Alvarado (Chino)",1,1
"175",175,"Camaronera Anita Valencia",1,1
"176",176,"Camaronera A Rodriguez (Pochote)",1,1
"177",177,"Camaronera y salinera R Rodriguez",1,1
"178",178,"Camaronera A Rodriguez",1,1
"179",179,"Camaroneras Los Chumino",1,1
"180",180,"Camaronera R Gonzalez",1,1
"181",181,"Camaronera A Rodriguez",1,1
"182",182,"Camaronera Jose Chavarria",1,1
"183",183,"Camaronera G Acon (Sapira)",1,1
"184",184,"Camaronera Tadeo Santa Maria",1,1
"185",185,"Camaronera Inversiones M y G (Justioniani)",1,1
"186",186,"Camaronera y salinera J de la Cruz",1,1
"187",187,"Dinia Ramirez",2,4
"188",188,"Humedal El Mango",2,4
"189",189,"La Gilda",1,1
"190",190,"Rio Canas 1",1,1
"191",191,"Laguna Rio Canas (San Francisco)",2,4
"192",192,"Hatillo",1,1
"193",193,"Laguna Balsitas",1,3
"194",194,"Rio Canas 2",1,1
"195",195,"Manzanillo",1,3
"196",196,"Las Manchas",1,1
"197",197,"Laguna Perro",1,3
"198",198,"Caletas",1,1
"199",199,"Caletas 2",1,1
"200",200,"Arrozal El Bongo",2,4
"201",201,"Quebrada de Nando",1,1
"202",202,"El Bongo 2",1,1
"203",203,"Mid West Teak",1,1
"204",204,"Mid West Teak 2",1,1
"205",205,"Mid West Teak 3",1,1
"206",206,"El Bongo 3",1,1
"207",207,"El Bongo",2,4
"208",208,"Playa Puerto Coyote",1,1
"209",209,"Puente rio Coyote",1,1
"210",210,"La Trocha",1,1
"211",211,"Coyote Centro",1,1
"212",212,"Javier Herrera",1,1
"213",213,"El Orgullo",1,1
"214",214,"Platanillo",1,1
"215",215,"Platanillo 2",1,1
"216",216,"Carlos Luis Solorzano",1,3
"217",217,"Playa Coyote",1,1
"218",218,"Hacienda La Javilla 1",1,1
"219",219,"Hacienda La Javilla 2 (Playa San Miguel)",1,1
"220",220,"Pilas de Bejuco",1,3
"221",221,"Corozalito",1,1
"222",222,"Camaronal",3,3
"223",223,"El Carmen",1,1
"224",224,"La Roxana",1,4
"225",225,"Comanche",2,4
"226",226,"Comanche 2",1,1
"227",227,"Pozuelo",1,1
"228",228,"Palmichal (Los Jilgueros) 1",2,4
"229",229,"Pedro Molina",2,4
"230",230,"Camaronera Cangelito 1",1,1
"231",231,"Camaronera Cangelito 2",1,1
"232",232,"Laguna Concava",2,4
"233",233,"Laguna Dona Ana",1,3
"234",234,"Laguna Concava 2",1,1
"235",235,"Charrarra",1,3
"236",236,"Embalse Cachi",1,3
"237",237,"Embalse Birris",1,1
"238",238,"Laguna la Ensenanza",1,1
"239",239,"Uvital",1,1
"240",240,"Muro Sur",1,1
"241",241,"Poza Ballena",1,1
"242",242,"Poza Ballena (Lacustre)",1,1
"243",243,"Finca Piragua",1,1
"244",244,"Palmira 1",1,1
"245",245,"Palmira 2",1,1
"246",246,"Calle El Empalado",3,3
