Formulario,Name,AREA,PERIMETER,BE,RE,PR,DR,GP,PI,SE,AR,SD,CO,CL,CU,FQ,IBE,IA,IT,IA,TW,ST,INDEX,INDEX,XX
1,Canas Gordas 1,31811.06847,914.883099,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.125,2239.503992,1792.864863,0,0,0
2,Canas Gordas 2,157299.5335,6571.416954,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.125,2286.18708,999.214196,0,0,0
3,Canas Gordas 3,32007.95179,1181.026268,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.125,2931.835495,392.84722,0,0,0
4,Canas Gordas 4,18094.18644,609.757505,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.125,2724.821691,609.236498,0,0,0
5,Lourdes 1,9640.274455,492.476113,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.22,-0.22,-0.0275,3320.851584,50.107319,20.09115208,0,0
6,La Isla,23998.86909,1810.869506,0,0,0,1,0,1,0,0,1,1,0,1,0,0,-0.55,-0.55,-0.06875,2623.677027,892.731541,99.20778758,0,0
7,San Joaquin 2,8652.581001,458.369385,0,0,0,1,1,1,1,1,1,1,0,0,0,0,-0.66,-0.66,-0.0825,2955.312552,230.679649,160.9167685,0,0
8,San Joaquin 1,180366.3736,4005.696414,0,0,0,1,1,1,1,1,1,1,0,0,0,0,-0.66,-0.66,-0.0825,1820.595502,12.591369,99.13142508,0,0
9,Laguna El Campo,3975.770967,266.647963,0,0,0,1,1,1,1,1,1,1,0,0,0,0,-0.66,-0.66,-0.0825,1545.08074,9.105567,84.12964629,0,0
10,Rafaelita,3732.410893,242.221775,0,0,0,1,1,1,1,1,1,1,0,0,0,0,-0.66,-0.66,-0.0825,1658.216961,71.412594,90.28991353,0,0
11,San Joaquin 3,23202.26813,985.196466,0,0,0,1,1,1,0,1,1,1,1,1,0,0,-0.77,-0.77,-0.09625,2275.420374,74.817478,168.6370925,0,0
