Formulario,nom_hum,Bosques,Charr_Taco,Sabanas,Reforest,Gan_Intens,Gan_Extens,Agricult,Tipo_Agr,Acuacult,Pesca,Moluscos,Extr_Recur,Infraestr,Turism_Com,Transp_Acu,Industria,Otros,IV,Shape_Area
,,0.5,0.3,0.3,0.1,-0.5,-0.2,-0.4,,0.1,0.1,-0.1,-0.3,-0.5,-0.1,-0.1,-0.2,,,
,,BO,CT,SA,RE,GI,GE,AG,,AC,PE,MO,EX,IN,TU,TR,ID,OT,,
1,Canas Gordas 1,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,31811.06846500000
2,Canas Gordas 2,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,157299.53352300000
3,Canas Gordas 3,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,32007.95178850000
4,Canas Gordas 4,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,18094.18644310000
5,Lourdes 1,1,0,0,0,1,0,0,,0,0,0,0,1,0,0,0,,-0.50,9640.27445525000
6,La Isla,1,1,0,0,0,0,1,Cafe,0,0,0,0,1,0,0,0,,-0.10,23998.86909360000
7,San Joaquin 2,0,1,0,1,0,0,1,"Cafe, Cana de Azucar, Maiz, Frijol, Palmito, Pino",0,0,0,0,1,1,0,1,Servicios,-0.60,8652.58100121000
8,San Joaquin 1,0,1,0,1,0,0,1,"Cafe, Cana de Azucar, Maiz, Frijol, Palmito, Pino",0,0,0,0,1,1,0,1,Servicios,-0.60,180366.37363700000
9,Laguna El Campo,0,1,0,1,0,0,1,"Cafe, Cana de Azucar, Maiz, Frijol, Palmito, Pino",0,0,0,0,1,1,0,1,Servicios,-0.60,3975.77096711000
10,Rafaelita,0,1,0,1,0,0,1,"Cafe, Cana de Azucar, Maiz, Frijol, Palmito, Pino",0,0,0,0,1,1,0,1,Servicios,-0.60,3732.41089292000
11,San Joaquin 3,1,1,0,1,0,1,1,"Cafe, Maiz, Nampi, Pino",1,0,0,0,1,1,0,1,Aeropuerto,-0.20,23202.26812460000
12,El Jicote 1,1,1,1,0,0,0,1,Cana de Azucar,0,0,0,0,1,0,0,1,,0.20,352680.67092000000
13,El Jicote 2,1,1,1,0,0,0,1,Cana de Azucar,0,0,0,0,1,0,0,1,,0.20,166806.56928500000
14,La Bolsa,1,1,1,0,0,1,1,Cana de Azucar,0,0,0,0,0,1,1,0,,0.30,1573816.59646000000
15,El Paraguas,1,0,0,0,0,1,0,,0,1,0,0,1,1,0,0,,-0.20,21946.56958770000
16,Tadeo,1,1,0,0,0,0,1,"Maiz, Platano",0,0,0,0,1,0,0,0,,-0.10,3750.60276479000
17,Laguna Larga / Redonda,0,1,0,0,0,0,1,Pina,0,0,0,0,1,0,0,0,,-0.60,114067.04275900000
18,Laguna La Danta,1,1,0,0,0,1,0,,0,1,0,0,0,1,0,0,,0.60,19110.82799450000
19,San Marcos,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.10,77716.89138690000
20,La Dantica,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,775.33113706600
21,Los Martinez,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,,-0.20,28766.53373000000
22,Laguna Los Mangos / La Gloria,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,,-0.20,3460.06003141000
23,La Fortuna,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,,-0.20,4182.35845416000
24,Laguna Azul,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.50,1600.73221687000
25,Laguna Carce,1,1,0,0,0,1,0,,0,1,0,0,0,0,0,0,,0.70,14462.10439620000
26,El Jardin,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,48149.55282670000
27,Laguna El Silencio,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,1625.29397154000
28,Humedales Valle El Silencio,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,8877.84774928000
29,Humedales Valle El Silencio,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,21636.93678710000
30,Humedales Valle El Silencio,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,8182.27570430000
31,Humedales Valle El Silencio,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,1212.50421077000
32,Humedales Valle El Silencio,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,3821.98549801000
33,Humedales Valle El Silencio,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,9565.14384278000
34,Humedales Valle El Silencio,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,150796.77060600000
35,Humedales Valle El Silencio,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,4822.22795891000
36,Humedales Valle El Silencio,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,59487.69277220000
37,Humedales Valle El Silencio,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0.40,19189.66498680000
