Formulario,nom_hum,reg_jur,asp,cat_manejo,nombre_asp,nom_cuenc,tipo_hum,clase_hum,nat_art,Perimetro_m,Area_Has
1,Canas Gordas 1,Zona Fronteriza (2Km),Fuera,N/A,Fueras ASP,Esquinas,Palustre,Pantano herbaceo,Natural,914.8830989,3.181106847
2,Canas Gordas 2,Zona Fronteriza (2Km),Fuera,N/A,Fueras ASP,Esquinas,Palustre,Pantano herbaceo,Natural,6571.416954,15.72995335
3,Canas Gordas 3,Zona Fronteriza (2Km),Fuera,N/A,Fueras ASP,Esquinas,Palustre,Pantano herbaceo,Natural,1181.026268,3.200795179
4,Canas Gordas 4,Zona Fronteriza (2Km),Fuera,N/A,Fueras ASP,Esquinas,Palustre,Pantano herbaceo,Natural,609.7575052,1.809418644
5,Lourdes 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,492.476113,0.9640274455
6,La Isla,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,1810.869506,2.399886909
7,San Joaquin 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Artificial,458.3693845,0.8652581001
8,San Joaquin 1,Area Silvestre Protegida,Parcialmente,Humedal,Laguna San Joaquin,Terraba,Palustre,Pantano herbaceo,Artificial,4005.696414,18.03663736
9,Laguna El Campo,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Artificial,266.6479625,0.3975770967
10,Rafaelita,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Artificial,242.2217746,0.3732410893
11,San Joaquin 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Artificial,985.196466,2.320226812
12,El Jicote 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Tempisque,Palustre,Pantano herbaceo,Natural,4007.66793,35.26806709
13,El Jicote 2,Area Silvestre Protegida,Dentro,Refugio Nacional de Vida Silvestre,Hacienda El Viejo,Tempisque,Palustre,Pantano herbaceo,Natural,2224.32374,16.68065693
14,La Bolsa,Area Silvestre Protegida,Dentro,Refugio Nacional de Vida Silvestre,Hacienda El Viejo,Tempisque,Estuarino,Manglar,Natural,12007.08785,157.3816596
15,El Paraguas,Area Silvestre Protegida,Dentro,Humedal,"Palustrino Lag, del Paraguas",Terraba,Lacustre,Laguna,Natural,1129.774583,2.194656959
16,Tadeo,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,364.4843685,0.3750602765
17,Laguna Larga / Redonda,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,3891.03976,11.40670428
18,Laguna La Danta,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,817.7164258,1.911082799
20,La Dantica,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,140.6737197,0.07753311371
21,Los Martinez,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,926.0684313,2.876653373
22,Laguna Los Mangos / La Gloria,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,224.3292506,0.3460060031
23,La Fortuna,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Palustre,Pantano herbaceo,Natural,264.7386098,0.4182358454
24,Laguna Azul,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,237.5827881,0.1600732217
25,Laguna Carce,Territorio Indigena,Fuera,N/A,Fueras ASP,Terraba,Lacustre,Laguna,Natural,573.1540661,1.44621044
26,El Jardin,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,2020.712134,4.814955283
27,Laguna El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,174.6449024,0.1625293972
28,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,645.814924,0.8877847749
29,Humedales Valle El Silencio,Area Silvestre Protegida,Dentro,Parque Nacional,Internacional La Amistad,Changuinola,Palustre,Humedales de altura,Natural,1112.849712,2.163693679
